國文,英文,數學,社會,自然
15,12,6,14,8
8,10,12,8,9
12,6,13,7,12
15,9,12,6,8
7,9,15,8,9
10,6,10,13,10
15,7,14,7,14
8,9,11,14,11
14,15,12,7,9
6,9,14,7,10
7,12,8,14,13
11,14,13,6,14
8,7,10,9,10
8,13,9,10,9
11,6,14,9,8
12,14,12,15,12
15,6,10,10,9
10,7,10,12,10
13,9,13,14,9
8,8,6,10,14
7,12,6,14,13
7,15,13,10,8
15,7,9,7,7
10,10,15,11,6
10,6,7,15,10
6,14,12,14,10
8,14,6,10,13
6,15,12,9,9
13,15,14,9,7
9,7,15,9,9
14,10,9,10,13
10,10,12,13,12
15,12,11,14,11
9,13,9,9,9
6,12,9,10,13
6,13,14,6,9
7,13,15,15,15
11,10,12,6,8
12,11,11,10,15
11,11,8,7,14
13,11,15,14,6
9,15,10,15,7
11,10,8,10,8
15,6,15,8,14
13,6,7,9,9
13,15,15,15,11
8,10,6,13,10
7,11,6,9,13
9,15,9,7,7
9,9,7,7,8
11,8,9,15,6
14,6,14,10,7
8,8,8,8,10
15,15,9,7,12
6,15,15,14,14
6,15,6,6,6
11,9,10,10,15
8,7,12,8,10
13,15,15,10,8
6,10,12,8,9
8,13,14,10,12
14,15,6,6,12
11,12,9,6,11
11,14,7,9,6
12,8,15,6,9
12,6,15,14,11
9,14,15,10,9
6,14,12,8,14
15,15,10,9,11
13,12,6,8,8
8,14,10,12,13
9,7,14,7,12
6,9,14,14,9
9,8,12,7,12
14,12,12,14,15
12,14,7,9,12
10,7,11,7,12
7,13,7,8,10
8,11,9,9,6
11,6,7,6,15
6,12,8,10,12
14,10,13,10,7
10,6,7,12,8
10,14,6,15,6
8,9,8,10,14
9,15,13,15,11
13,11,15,7,9
12,14,9,8,12
13,13,9,14,12
12,15,9,11,9
14,9,7,15,9
11,6,13,10,12
14,7,12,13,12
12,12,8,9,8
14,12,15,13,10
7,9,11,11,12
12,10,13,8,11
6,15,10,8,13
15,11,6,6,13
9,14,8,8,6
